ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
PROMPT-001,创建 docs/prompt 目录和基线版本,创建迭代目录并复制当前 serp_prompt.md 为 v1.0_baseline.md,目录存在且基线文件字符数已统计,ls docs/prompt && wc -c docs/prompt/v1.0_baseline.md,Bash,TODO,TODO,TODO,docs/prompt/v1.0_baseline.md,,基线字符数约 2800+
PROMPT-002,运行基线测试记录通过率,使用 real_ai_conversation_e2e.py 测试 xai/deepseek 基线通过率,测试结果记录到 docs/prompt/test_results.md,python scripts/monitoring/real_ai_conversation_e2e.py --models xai deepseek --runs 3,Bash,TODO,TODO,TODO,docs/prompt/test_results.md,PROMPT-001,需要后端服务运行
PROMPT-003,v2.0 压缩冗余说明,去除重复约束和过度解释 目标压缩 20%+,字符数较基线减少 ≥20%,wc -c docs/prompt/v2.0_compress.md,codebase-retrieval,TODO,TODO,TODO,docs/prompt/v2.0_compress.md,PROMPT-001,合并重叠规则
PROMPT-004,v2.0 逐模型测试,测试 v2.0 在 xai/deepseek 的通过率,xai/deepseek 均 100% PASS,python scripts/monitoring/real_ai_conversation_e2e.py --models xai deepseek --runs 3,Bash,TODO,TODO,TODO,docs/prompt/test_results.md,PROMPT-003,若失败需分析失败模式
PROMPT-005,v3.0 结构优化,前置核心约束后置示例 进一步压缩 10%+,字符数较 v2.0 减少 ≥10%,wc -c docs/prompt/v3.0_structure.md,codebase-retrieval,TODO,TODO,TODO,docs/prompt/v3.0_structure.md,PROMPT-003,标签白名单和顺序要求前置
PROMPT-006,v3.x 逐模型验证微调,针对各模型测试 v3.0 并微调,所有模型 100% PASS,python scripts/monitoring/real_ai_conversation_e2e.py --models xai deepseek --runs 5,Bash,TODO,TODO,TODO,docs/prompt/v3.1_xai.md docs/prompt/v3.2_deepseek.md,PROMPT-005,按需创建模型特定微调版本
PROMPT-007,v4.0 最小公约版本,综合所有模型反馈确定最小公约版本,所有模型使用同一版本 100% PASS,python scripts/monitoring/real_ai_conversation_e2e.py --runs 5 --turns 2,Bash,TODO,TODO,TODO,docs/prompt/v4.0_unified.md,PROMPT-006,尽量避免模型特定分支
PROMPT-008,v5.0 最终生产版本,最终版本通过全部模型 100% 测试,--runs 5 --turns 2 全部 PASS,python scripts/monitoring/real_ai_conversation_e2e.py --runs 5 --turns 2,Bash,TODO,TODO,TODO,docs/prompt/v5.0_production.md,PROMPT-007,更新 assets/prompts/serp_prompt.md
PROMPT-009,更新 serp_prompt.md 和版本号,将最终版本更新回 SSOT 并更新 standard_serp_v2.json 版本号,assets/prompts/serp_prompt.md 内容与 v5.0 一致,diff docs/prompt/v5.0_production.md assets/prompts/serp_prompt.md,codebase-retrieval,TODO,TODO,TODO,assets/prompts/serp_prompt.md assets/prompts/standard_serp_v2.json,PROMPT-008,版本号递增
PROMPT-010,创建 CHANGELOG 和归档文档,记录完整迭代历史和字符压缩比,CHANGELOG.md 包含所有版本记录,cat docs/prompt/CHANGELOG.md,Bash,TODO,TODO,TODO,docs/prompt/CHANGELOG.md,PROMPT-009,包含字符数和测试结果
